Code;Level;Beschrijving;Formula;SourceQty;UOM;UnitPerUOM;Waste;Consumption;Quantity;UnitCost;BaseCost;CostType;GrossTotal
09F;2;Trafovloer;TRAFOVLOER.Net Top Surface Area;65.5400194336014;m2;-;1;1;65.5400194336014;0;6031.92503797933;;7057.35229443582
09F01;3;Engineering;TRAFOVLOER.Net Top Surface Area/5;13.1080038867203;uur;-;1;1.05;13.7634040810563;78;1073.54551832239;ENG-A;1256.0482564372
09F02;3;Randkist;TRAFOVLOER.Edge Perimeter;56.2000058593969;m1;-;1;1;56.2000058593969;14;928.424096797237;;1086.25619325277
09F0201;4;Materiaal;TRAFOVLOER.Edge Perimeter;56.2000058593969;m1;-;1;1.02;57.3240059765848;6;343.944035859509;MAT-A;402.414521955626
09F0202;4;Maken;TRAFOVLOER.Edge Perimeter/4.5;12.4888901909771;uur;-;1;1.04;12.9884457986162;45;584.480060937728;UIT-A;683.841671297142
09F03;3;Wapening (100 kg/m3);TRAFOVLOER.Net Volume*100;1310.80038867203;kg;-;1;1;1310.80038867203;1.05;1586.06847029316;;1855.70011024299
09F0301;4;Wapening;TRAFOVLOER.Net Volume*100;1310.80038867203;kg;-;1;1.1;1441.88042753923;0.8;1153.50434203139;MAT-A;1349.60008017672
09F0302;4;Aanbrengen;(TRAFOVLOER.Net Volume*100)/150;8.73866925781352;uur;-;1;1.1;9.61253618359488;45;432.56412826177;UIT-A;506.10003006627
09F04;3;Beton;TRAFOVLOER.Net Volume;13.1080038867203;m3;-;1.05;1.1;15.1397444891619;91;1377.71674851374;MAT-A;1611.92859576107
09F05;3;Storten en afwerken;TRAFOVLOER.Net Top Surface Area;65.5400194336014;m2;-;1;1.05;68.8170204052815;10;688.170204052815;WDD;805.159138741794
09F06;3;Aanvoerkosten betonpomp;IF(TRAFOVLOER.Net Volume>0,1,0);1;pst;-;1;1.05;1.05;360;378;MAT-E;442.26
09G;2;Putvloer;PUTVLOER.Net Top Surface Area;195.49;m2;-;1;1;195.49;0;15919.8086625;;18626.176135125
09G01;3;Engineering;PUTVLOER.Net Top Surface Area/5;39.098;uur;-;1;1.05;41.0529;78;3202.1262;ENG-A;3746.487654
09G02;3;Randkist;PUTVLOER.Edge Perimeter;85.6;m1;-;1;1;85.6;14;1414.112;;1654.51104
09G0201;4;Materiaal;PUTVLOER.Edge Perimeter;85.6;m1;-;1;1.02;87.312;6;523.872;MAT-A;612.93024
